ts_bucket,trigger_minute,timeframe,predicted_trend,truth_trend,direction_is_match,predicted_support,predicted_resistance,range_tolerance_pct,range_tolerance_abs,support_error_abs,resistance_error_abs,support_within_tolerance,resistance_within_tolerance,range_is_match,horizon_minutes,expected_bars,actual_bars,missing_bars,missing_start_time,truth_support,truth_resistance,path_state,start_open,end_close,max_high,min_low,close_return_bps,close_return_pct,max_up_bps,max_up_pct,max_down_bps,max_down_pct,up_breach_time,down_breach_time,complete_window
2026-03-17T16:00:00+00:00,0,15m,Sideways,Bullish,False,2305.74,2322.04,1.0,23.1468,5.330000000000382,2.769999999999982,True,True,True,15,15,15,0,,2311.07,2324.81,up_only,2314.68,2316.13,2324.81,2311.07,6.264364836610081,0.06264364836610081,43.764148824028126,0.43764148824028126,-15.596108317347257,-0.15596108317347257,2026-03-17T16:06:00+00:00,,True
2026-03-17T16:00:00+00:00,0,4h,Sideways,Bullish,False,2303.0,2356.66,1.0,23.1468,8.070000000000164,14.829999999999927,True,True,True,240,240,240,0,,2311.07,2341.83,up_only,2314.68,2319.1,2341.83,2311.07,19.095512122626612,0.19095512122626612,117.2948312509714,1.172948312509714,-15.596108317347257,-0.15596108317347257,2026-03-17T16:06:00+00:00,,True
2026-03-17T16:00:00+00:00,0,1d,Bullish,,False,2286.0,2385.41,1.0,,,,False,False,False,1440,1440,653,787,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T16:15:00+00:00,15,15m,Sideways,Bullish,False,2311.07,2324.81,1.0,23.1613,4.309999999999945,11.0,True,True,True,15,15,15,0,,2315.38,2335.81,close_up,2316.13,2329.86,2335.81,2315.38,59.27991952092482,0.5927991952092482,84.96932382897171,0.8496932382897171,-3.23816020689649,-0.0323816020689649,2026-03-17T16:16:00+00:00,,True
2026-03-17T16:15:00+00:00,15,4h,Bullish,Bullish,True,2310.18,2340.46,1.0,23.1613,5.200000000000273,1.3699999999998909,True,True,True,240,240,240,0,,2315.38,2341.83,up_only,2316.13,2316.86,2341.83,2315.38,3.1518092680471455,0.031518092680471455,110.96095642299852,1.1096095642299852,-3.23816020689649,-0.0323816020689649,2026-03-17T16:16:00+00:00,,True
2026-03-17T16:15:00+00:00,15,1d,Bullish,,False,2304.44,2352.13,1.0,,,,False,False,False,1440,1440,638,802,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T16:30:00+00:00,30,15m,Sideways,Bearish,False,2318.7,2335.8,1.0,23.2985,0.8500000000003638,3.9900000000002365,True,True,True,15,15,15,0,,2319.55,2331.81,down_only,2329.85,2324.82,2331.81,2319.55,-21.589372706396492,-0.21589372706396492,8.412558748418508,0.08412558748418508,-44.208854647294075,-0.44208854647294077,,2026-03-17T16:34:00+00:00,True
2026-03-17T16:30:00+00:00,30,4h,Sideways,Sideways,True,2310.3,2356.7,1.0,23.2985,5.309999999999945,14.86999999999989,True,True,True,240,240,240,0,,2315.61,2341.83,down_then_up,2329.85,2328.01,2341.83,2315.61,-7.897504131165745,-0.07897504131165745,51.41961928879502,0.5141961928879502,-61.119814580337106,-0.6111981458033711,2026-03-17T17:46:00+00:00,2026-03-17T16:34:00+00:00,True
2026-03-17T16:30:00+00:00,30,1d,Bullish,,False,2285.1,2385.8,1.0,,,,False,False,False,1440,1440,623,817,2026-03-18T02:53:00+00:00,,,incomplete,,,,,,,,,,,,,False
2026-03-17T16:45:00+00:00,45,15m,Sideways,Sideways,True,2319.55,2332.35,1.0,23.2483,0.7399999999997817,1.7799999999997453,True,True,True,15,15,15,0,,2320.29,2330.57,no_material_break,2324.83,2325.72,2330.57,2320.29,3.8282369033426633,0.03828236903342663,24.68997733167777,0.2468997733167777,-19.528309596830162,-0.19528309596830162,,,True
